Iteration	Posterior	Likelihood	Prior	mu	sigma
5041	-31.2676	-24.6177	-6.64983	15.3301	3.6541
5042	-33.7353	-26.087	-7.64826	15.3301	4.65252
5043	-33.7353	-26.087	-7.64826	15.3301	4.65252
5044	-30.8767	-24.3931	-6.48357	15.3301	3.48784
5045	-30.8937	-24.4101	-6.48357	15.4308	3.48784
5046	-30.8886	-24.405	-6.48357	15.4053	3.48784
5047	-30.3607	-24.166	-6.19476	15.7056	3.19903
5048	-30.3607	-24.166	-6.19476	15.7056	3.19903
5049	-29.813	-24.8636	-4.94938	15.7056	1.95365
5050	-29.4752	-24.5258	-4.94938	15.3274	1.95365
5051	-29.3931	-23.66	-5.73311	15.3274	2.73737
5052	-29.1509	-23.6736	-5.47732	14.9051	2.48159
5053	-29.4494	-23.6695	-5.77986	15.1253	2.78413
5054	-29.4478	-23.6679	-5.77986	15.171	2.78413
5055	-29.47	-23.6902	-5.77986	14.9898	2.78413
5056	-29.2974	-23.8755	-5.4219	14.6433	2.42616
5057	-30.56	-25.7862	-4.7738	14.6433	1.77807
5058	-29.288	-23.9667	-5.3213	14.6433	2.32557
5059	-30.738	-24.4307	-6.3073	14.4049	3.31156
5060	-31.3195	-25.0122	-6.3073	13.8084	3.31156
5061	-31.6622	-25.3549	-6.3073	13.5567	3.31156
5062	-34.7812	-27.07	-7.71116	13.1812	4.71543
5063	-34.6577	-26.9465	-7.71116	13.324	4.71543
5064	-32.7	-25.9589	-6.74105	13.324	3.74532
5065	-31.4955	-25.9256	-5.56986	13.4214	2.57412
5066	-31.1472	-25.5773	-5.56986	13.5583	2.57412
5067	-31.119	-25.4353	-5.68364	13.5583	2.68791
5068	-31.119	-25.4353	-5.68364	13.5583	2.68791
5069	-31.1395	-25.5531	-5.58641	13.5583	2.59068
5070	-32.1952	-25.5687	-6.62657	13.5583	3.63084
5071	-31.8607	-25.2342	-6.62657	13.8588	3.63084
5072	-30.482	-24.9279	-5.55409	13.8588	2.55835
5073	-30.7942	-24.7916	-6.00259	13.8588	3.00686
5074	-30.7942	-24.7916	-6.00259	13.8588	3.00686
5075	-31.5272	-25.5246	-6.00259	13.4265	3.00686
5076	-30.5856	-24.583	-6.00259	14.0108	3.00686
5077	-30.5856	-24.583	-6.00259	14.0108	3.00686
5078	-30.7459	-24.7433	-6.00259	13.8925	3.00686
5079	-31.5823	-25.0788	-6.50353	13.8925	3.5078
5080	-30.4198	-24.8191	-5.60068	13.8925	2.60495
5081	-30.2845	-24.6838	-5.60068	13.9661	2.60495
5082	-30.498	-24.8973	-5.60068	13.8517	2.60495
5083	-30.498	-24.8973	-5.60068	13.8517	2.60495
5084	-30.5134	-25.0335	-5.47991	13.8517	2.48418
5085	-30.5134	-25.0335	-5.47991	13.8517	2.48418
5086	-30.0313	-24.5514	-5.47991	14.0997	2.48418
5087	-29.3722	-23.8923	-5.47991	14.589	2.48418
5088	-29.6719	-24.1919	-5.47991	14.3306	2.48418
5089	-29.9863	-24.6959	-5.29032	14.1701	2.29458
5090	-29.9478	-24.6072	-5.34059	14.1701	2.34486
5091	-30.4786	-25.138	-5.34059	13.9128	2.34486
5092	-30.672	-25.4596	-5.2124	13.9128	2.21667
5093	-30.2711	-25.0587	-5.2124	14.0798	2.21667
5094	-31.47	-26.2576	-5.2124	13.6332	2.21667
5095	-31.855	-26.7598	-5.09518	13.6332	2.09945
5096	-32.0603	-26.9651	-5.09518	13.5756	2.09945
5097	-31.905	-26.8098	-5.09518	13.619	2.09945
5098	-31.4732	-26.378	-5.09518	13.7465	2.09945
5099	-30.9889	-25.8937	-5.09518	13.9046	2.09945
5100	-30.6644	-24.7127	-5.95169	13.9046	2.95596
5101	-31.0685	-25.1283	-5.94023	13.6458	2.9445
5102	-31.0335	-25.1342	-5.89924	13.6458	2.90351
5103	-31.1768	-25.2775	-5.89924	13.5688	2.90351
5104	-30.9235	-25.0243	-5.89924	13.7077	2.90351
5105	-30.815	-25.2914	-5.52354	13.7077	2.52781
5106	-30.7893	-25.2658	-5.52354	13.7189	2.52781
5107	-31.5841	-26.0605	-5.52354	13.4043	2.52781
5108	-31.5841	-26.0605	-5.52354	13.4043	2.52781
5109	-31.4741	-25.1708	-6.30331	13.6849	3.30758
5110	-31.3059	-25.0026	-6.30331	13.8139	3.30758
5111	-30.9985	-24.6952	-6.30331	14.0885	3.30758
5112	-30.6003	-24.3992	-6.20116	14.3116	3.20543
5113	-29.7682	-24.1516	-5.61656	14.3116	2.62083
5114	-29.7125	-24.3837	-5.32879	14.3116	2.33306
5115	-29.8747	-23.9892	-5.88546	14.5253	2.88972
5116	-29.4668	-23.894	-5.57282	14.5546	2.57709
5117	-29.8357	-23.9609	-5.87483	14.5546	2.87909
5118	-30.6756	-24.295	-6.38054	14.8559	3.38481
5119	-30.6843	-24.3037	-6.38054	14.8261	3.38481
5120	-30.1351	-24.0127	-6.12239	14.8261	3.12666
5121	-29.1532	-23.9011	-5.25202	14.8261	2.25629
5122	-29.7329	-23.8221	-5.91081	14.8385	2.91508
5123	-29.4545	-23.7207	-5.73379	14.8385	2.73806
5124	-29.2375	-23.6909	-5.54659	14.8385	2.55086
5125	-29.2038	-23.6572	-5.54659	14.9115	2.55086
5126	-29.5122	-24.554	-4.95821	14.9115	1.96248
5127	-29.6607	-23.7566	-5.90403	15.0693	2.9083
5128	-29.0932	-23.6478	-5.44546	15.3422	2.44973
5129	-29.0453	-23.792	-5.25325	15.0631	2.25751
5130	-29.1125	-23.8593	-5.25325	15.4605	2.25751
5131	-29.0331	-23.7798	-5.25325	15.1604	2.25751
5132	-30.8699	-26.2185	-4.65145	15.1604	1.65571
5133	-30.8699	-26.2185	-4.65145	15.1604	1.65571
5134	-30.5863	-24.2257	-6.36069	15.1604	3.36496
5135	-29.1034	-23.9626	-5.14081	15.1604	2.14508
5136	-29.1505	-23.6106	-5.53996	15.083	2.54422
5137	-29.2272	-23.6873	-5.53996	15.5041	2.54422
5138	-29.5639	-23.7536	-5.81035	15.5041	2.81461
5139	-29.7497	-23.9394	-5.81035	15.8099	2.81461
5140	-29.6847	-23.8743	-5.81035	15.7226	2.81461
5141	-29.0661	-23.8287	-5.23739	15.3433	2.24166
5142	-29.0661	-23.8287	-5.23739	15.3433	2.24166
5143	-29.142	-23.9046	-5.23739	14.8524	2.24166
5144	-29.377	-24.1396	-5.23739	14.5919	2.24166
5145	-29.0892	-23.8518	-5.23739	14.9489	2.24166
5146	-29.3665	-24.1291	-5.23739	14.6011	2.24166
5147	-29.2747	-24.0373	-5.23739	14.6879	2.24166
5148	-29.2444	-24.0511	-5.19334	14.7539	2.19761
5149	-29.2444	-24.0511	-5.19334	14.7539	2.19761
5150	-29.7352	-23.8867	-5.84842	14.639	2.85269
5151	-29.4714	-23.8197	-5.65172	14.639	2.65599
5152	-29.5333	-23.8816	-5.65172	14.563	2.65599
5153	-29.5333	-23.8816	-5.65172	14.563	2.65599
5154	-30.5962	-24.4251	-6.17102	14.2523	3.17529
5155	-30.092	-24.0413	-6.05068	14.6232	3.05495
5156	-29.9314	-23.8807	-6.05068	15.1027	3.05495
5157	-32.0497	-25.0757	-6.974	15.1027	3.97827
5158	-32.0497	-25.0757	-6.974	15.1027	3.97827
5159	-31.4032	-24.6939	-6.70926	15.1027	3.71353
5160	-29.7996	-23.9235	-5.87611	14.6078	2.88038
5161	-29.6631	-23.787	-5.87611	14.8659	2.88038
5162	-30.4702	-24.1816	-6.28858	14.8659	3.29285
5163	-30.4286	-24.14	-6.28858	15.1004	3.29285
5164	-30.4286	-24.14	-6.28858	15.1004	3.29285
5165	-29.6629	-23.7557	-5.90718	15.1004	2.91145
5166	-29.7471	-23.8399	-5.90718	15.5607	2.91145
5167	-29.6879	-23.7807	-5.90718	15.3945	2.91145
5168	-29.4223	-24.428	-4.99425	14.9111	1.99852
5169	-29.6765	-24.6822	-4.99425	14.6531	1.99852
5170	-29.5583	-23.8264	-5.73196	14.6531	2.73623
5171	-29.4075	-23.6755	-5.73196	14.9586	2.73623
5172	-29.7724	-23.8073	-5.96517	15.06	2.96943
5173	-29.8393	-23.8741	-5.96517	14.8133	2.96943
5174	-29.7839	-23.8187	-5.96517	14.9922	2.96943
5175	-29.8651	-23.8999	-5.96517	14.7552	2.96943
5176	-29.3877	-23.7734	-5.6143	14.6991	2.61857
5177	-29.6384	-24.0241	-5.6143	14.42	2.61857
5178	-29.7103	-24.0205	-5.68983	14.42	2.6941
5179	-29.4054	-23.7156	-5.68983	14.8175	2.6941
5180	-29.9479	-23.8916	-6.05627	15.0511	3.06053
5181	-29.3695	-23.728	-5.64144	14.7745	2.64571
5182	-29.2563	-23.6149	-5.64144	15.2255	2.64571
5183	-29.2548	-23.6134	-5.64144	15.1957	2.64571
5184	-29.2617	-23.6147	-5.64695	15.1957	2.65122
5185	-29.1038	-23.9632	-5.14061	15.1957	2.14488
5186	-29.1382	-23.9976	-5.14061	14.9966	2.14488
5187	-31.0163	-26.3453	-4.67107	14.7731	1.67534
5188	-29.7713	-24.9204	-4.85093	15.2272	1.8552
5189	-29.19	-23.9131	-5.27685	14.7647	2.28112
5190	-29.136	-23.8592	-5.27685	14.8399	2.28112
5191	-29.3866	-23.7031	-5.68354	14.8399	2.68781
5192	-29.207	-24.0483	-5.15868	14.8399	2.16294
5193	-29.1351	-23.9764	-5.15868	14.9623	2.16294
5194	-29.1009	-23.9422	-5.15868	15.2915	2.16294
5195	-29.0406	-23.7006	-5.33998	15.2915	2.34425
5196	-29.0666	-23.6479	-5.41871	15.2915	2.42297
5197	-29.0551	-23.6364	-5.41871	15.1785	2.42297
5198	-29.0551	-23.6364	-5.41871	15.1785	2.42297
5199	-29.1998	-23.7811	-5.41871	15.5877	2.42297
5200	-29.2533	-23.786	-5.46727	15.6299	2.47154
5201	-30.5284	-25.7708	-4.75765	15.6299	1.76192
5202	-30.5284	-25.7708	-4.75765	15.6299	1.76192
5203	-29.2207	-23.838	-5.38265	15.6299	2.38692
5204	-29.2207	-23.838	-5.38265	15.6299	2.38692
5205	-29.9085	-23.9285	-5.98002	15.6299	2.98429
5206	-29.37	-24.2612	-5.10878	15.6299	2.11304
5207	-29.9214	-23.9325	-5.98896	15.6235	2.99322
5208	-29.8097	-23.8208	-5.98896	15.1981	2.99322
5209	-29.7479	-24.808	-4.93994	14.718	1.94421
5210	-29.4164	-24.0053	-5.41109	14.523	2.41535
5211	-31.0589	-24.5171	-6.54188	14.8003	3.54615
5212	-31.1112	-24.5693	-6.54188	14.6537	3.54615
5213	-29.7062	-23.8262	-5.88007	14.7799	2.88434
5214	-29.7062	-23.8262	-5.88007	14.7799	2.88434
5215	-29.3345	-23.996	-5.33841	14.5957	2.34268
5216	-29.4363	-24.0979	-5.33841	14.5062	2.34268
5217	-29.362	-24.0236	-5.33841	14.5701	2.34268
5218	-30.0545	-25.143	-4.91151	14.5701	1.91578
5219	-29.6345	-24.723	-4.91151	15.417	1.91578
5220	-30.232	-24.1638	-6.0682	15.8879	3.07247
5221	-30.1624	-24.0942	-6.0682	15.7888	3.07247
5222	-30.0208	-23.9526	-6.0682	14.8458	3.07247
5223	-30.0467	-23.9785	-6.0682	14.7787	3.07247
5224	-30.3011	-24.2329	-6.0682	14.3769	3.07247
5225	-30.3011	-24.2329	-6.0682	14.3769	3.07247
5226	-30.1437	-24.0755	-6.0682	14.5918	3.07247
5227	-30.1556	-24.0717	-6.0839	14.6214	3.08817
5228	-32.0693	-25.1267	-6.94267	14.6214	3.94694
5229	-29.3748	-23.8434	-5.53138	14.6214	2.53565
5230	-29.1407	-23.6093	-5.53138	15.0979	2.53565
5231	-31.6205	-27.025	-4.5955	15.5659	1.59977
5232	-29.4355	-24.4007	-5.03476	15.5659	2.03903
5233	-29.4355	-24.4007	-5.03476	15.5659	2.03903
5234	-29.4355	-24.4007	-5.03476	15.5659	2.03903
5235	-29.1876	-23.7624	-5.42518	15.5659	2.42945
5236	-29.1464	-23.7212	-5.42518	15.4977	2.42945
5237	-29.0879	-23.6627	-5.42518	15.362	2.42945
5238	-29.2673	-23.8421	-5.42518	14.6791	2.42945
5239	-29.2536	-23.9292	-5.32444	14.6791	2.32871
5240	-29.3242	-24.3196	-5.00469	15.0761	2.00895
5241	-29.741	-24.7363	-5.00469	14.5871	2.00895
5242	-29.4399	-24.4353	-5.00469	14.8542	2.00895
5243	-30.3966	-25.6451	-4.75151	14.8542	1.75578
5244	-29.1267	-23.8486	-5.27807	14.8542	2.28234
5245	-29.0377	-23.7356	-5.30204	15.062	2.30631
5246	-29.1065	-23.8045	-5.30204	15.469	2.30631
5247	-29.0689	-23.7668	-5.30204	15.3902	2.30631
5248	-29.7474	-24.8736	-4.87371	15.3902	1.87798
5249	-29.2822	-23.6451	-5.63706	15.3902	2.64132
5250	-29.2153	-23.6533	-5.56196	15.432	2.56623
5251	-29.1751	-23.6131	-5.56196	15.289	2.56623
5252	-29.1654	-23.6034	-5.56196	15.184	2.56623
5253	-29.3114	-23.7494	-5.56196	15.6142	2.56623
5254	-29.4266	-23.8646	-5.56196	15.7622	2.56623
5255	-29.3892	-23.8273	-5.56196	15.7186	2.56623
5256	-29.5312	-24.459	-5.07219	15.7186	2.07646
5257	-30.7695	-24.3845	-6.38506	15.7186	3.38932
5258	-30.8647	-24.4797	-6.38506	15.8923	3.38932
5259	-31.236	-24.8509	-6.38506	16.3446	3.38932
5260	-31.1664	-24.7814	-6.38506	16.2741	3.38932
5261	-31.2017	-24.8167	-6.38506	16.3104	3.38932
5262	-31.5712	-25.1862	-6.38506	16.6374	3.38932
5263	-31.3468	-24.9617	-6.38506	16.4488	3.38932
5264	-31.2606	-24.8756	-6.38506	16.3686	3.38932
5265	-32.37	-25.6306	-6.73942	16.7603	3.74369
5266	-32.4224	-25.683	-6.73942	16.806	3.74369
5267	-31.9788	-25.2394	-6.73942	16.365	3.74369
5268	-31.0198	-25.0609	-5.95893	16.6669	2.96319
5269	-30.2749	-24.316	-5.95893	16.1327	2.96319
5270	-32.09	-25.2212	-6.86873	16.1258	3.873
5271	-32.0596	-25.1909	-6.86873	16.0766	3.873
5272	-31.9068	-25.0381	-6.86873	15.7701	3.873
5273	-32.4213	-25.5526	-6.86873	16.5529	3.873
5274	-31.9069	-25.0381	-6.86873	15.7702	3.873
5275	-29.4612	-23.867	-5.59423	15.7702	2.5985
5276	-29.2821	-23.9798	-5.30231	15.6981	2.30658
5277	-29.2821	-23.9798	-5.30231	15.6981	2.30658
5278	-29.5026	-24.5069	-4.99567	15.5455	1.99994
5279	-29.7074	-24.7118	-4.99567	15.724	1.99994
5280	-29.7074	-24.7118	-4.99567	15.724	1.99994
5281	-29.7181	-24.7224	-4.99567	15.7317	1.99994
5282	-29.3535	-24.3578	-4.99567	15.308	1.99994
5283	-29.3535	-24.3578	-4.99567	15.308	1.99994
5284	-29.3749	-24.3792	-4.99567	15.3618	1.99994
5285	-29.3749	-24.3792	-4.99567	15.3618	1.99994
5286	-29.439	-24.4433	-4.99567	14.8824	1.99994
5287	-29.802	-24.9278	-4.87423	14.8824	1.8785
5288	-29.8622	-24.9879	-4.87423	14.8173	1.8785
5289	-29.8622	-24.9879	-4.87423	14.8173	1.8785
5290	-29.9764	-25.1022	-4.87423	14.7184	1.8785
5291	-29.3913	-23.7612	-5.63008	14.7184	2.63435
5292	-29.2943	-23.6642	-5.63008	14.903	2.63435
5293	-29.5582	-23.9281	-5.63008	14.5118	2.63435
5294	-29.2686	-23.6385	-5.63008	14.9791	2.63435
5295	-29.4186	-23.7885	-5.63008	14.6787	2.63435
5296	-29.3852	-23.7551	-5.63008	15.6233	2.63435
5297	-29.3622	-24.2526	-5.10955	15.6233	2.11382
5298	-29.2266	-24.117	-5.10955	15.4571	2.11382
5299	-29.2266	-24.117	-5.10955	15.4571	2.11382
5300	-29.3315	-24.2264	-5.10512	15.5847	2.10938
5301	-29.3315	-24.2264	-5.10512	15.5847	2.10938
5302	-30.4675	-24.1855	-6.28201	15.5231	3.28628
5303	-29.3388	-23.6991	-5.63971	15.5231	2.64397
5304	-29.2665	-23.6268	-5.63971	15.3159	2.64397
5305	-29.321	-24.3091	-5.01192	15.3159	2.01618
5306	-29.1268	-23.9883	-5.13857	15.3159	2.14284
5307	-29.4842	-24.3456	-5.13857	15.7654	2.14284
5308	-29.7871	-24.7991	-4.98797	15.7654	1.99224
5309	-29.7871	-24.7991	-4.98797	15.7654	1.99224
5310	-29.8716	-23.8604	-6.01123	15.3651	3.0155
5311	-30.0753	-24.064	-6.01123	15.813	3.0155
5312	-30.0753	-24.064	-6.01123	15.813	3.0155
5313	-30.8129	-24.4302	-6.3827	15.813	3.38697
5314	-30.7012	-24.3184	-6.3827	15.5626	3.38697
5315	-29.125	-23.6143	-5.51073	15.2711	2.515
5316	-29.121	-23.6102	-5.51073	15.1125	2.515
5317	-29.2034	-23.936	-5.26743	14.7518	2.2717
5318	-29.1692	-23.9018	-5.26743	14.7957	2.2717
5319	-29.6106	-23.785	-5.82562	14.7957	2.82988
5320	-29.7407	-24.8258	-4.91485	14.7957	1.91911
5321	-29.3179	-24.1233	-5.19466	14.6757	2.19893
5322	-29.2935	-24.0988	-5.19466	14.6999	2.19893
5323	-29.5462	-24.6317	-4.91457	15.1976	1.91884
5324	-29.573	-24.6584	-4.91457	15.0337	1.91884
5325	-29.3343	-23.642	-5.69233	15.0337	2.6966
5326	-29.3256	-23.6333	-5.69233	15.0891	2.6966
5327	-29.0326	-23.7212	-5.31139	15.0891	2.31566
5328	-29.2021	-24.0545	-5.14759	15.4882	2.15186
5329	-29.1019	-23.9543	-5.14759	15.1054	2.15186
5330	-29.2357	-23.6128	-5.62287	15.1054	2.62714
5331	-29.2657	-23.6428	-5.62287	14.9604	2.62714
5332	-29.4372	-23.8144	-5.62287	14.6435	2.62714
5333	-29.9336	-24.3107	-5.62287	14.1916	2.62714
5334	-29.7801	-24.6443	-5.13576	14.3912	2.14003
5335	-29.8639	-24.7735	-5.09044	14.3912	2.09471
5336	-29.9334	-24.8429	-5.09044	14.3533	2.09471
5337	-29.3675	-24.277	-5.09044	14.7517	2.09471
5338	-29.1414	-23.9455	-5.19589	14.8926	2.20016
5339	-29.0759	-23.88	-5.19589	15.0466	2.20016
5340	-29.0759	-23.88	-5.19589	15.0466	2.20016
5341	-29.1944	-23.9985	-5.19589	14.8132	2.20016
5342	-29.3201	-23.7038	-5.61632	14.8132	2.62059
5343	-30.5565	-25.8569	-4.69966	15.0665	1.70393
5344	-30.5565	-25.8569	-4.69966	15.0665	1.70393
5345	-30.5464	-25.8467	-4.69966	15.0982	1.70393
5346	-30.5665	-25.8668	-4.69966	15.0426	1.70393
5347	-30.5665	-25.8668	-4.69966	15.0426	1.70393
5348	-30.627	-25.9274	-4.69966	14.9457	1.70393
5349	-29.4252	-24.4413	-4.98388	14.9457	1.98815
5350	-29.4112	-24.4273	-4.98388	14.9712	1.98815
5351	-29.0907	-23.672	-5.41874	14.9712	2.42301
5352	-29.7824	-24.3637	-5.41874	14.2515	2.42301
5353	-30.2016	-24.7828	-5.41874	14.0154	2.42301
5354	-29.4953	-24.0766	-5.41874	14.4567	2.42301
5355	-30.6239	-24.3551	-6.26879	14.4567	3.27306
5356	-30.0241	-24.0795	-5.94459	14.4567	2.94886
5357	-30.0851	-24.1405	-5.94459	14.3864	2.94886
5358	-29.8998	-23.9552	-5.94459	14.6273	2.94886
5359	-29.6667	-23.8222	-5.84446	14.7435	2.84873
5360	-29.6395	-23.7951	-5.84446	15.5533	2.84873
5361	-29.8933	-24.0489	-5.84446	15.9203	2.84873
5362	-30.3621	-24.2366	-6.12547	15.9203	3.12974
5363	-30.2309	-24.1055	-6.12547	15.7213	3.12974
5364	-30.0799	-23.9544	-6.12547	15.1323	3.12974
5365	-29.9468	-23.8874	-6.05943	15.1323	3.0637
5366	-29.9575	-23.898	-6.05943	15.3234	3.0637
5367	-29.9459	-23.8865	-6.05943	15.1858	3.0637
5368	-29.959	-23.8965	-6.06242	15.0593	3.06669
5369	-29.959	-23.8965	-6.06242	15.0593	3.06669
5370	-32.5801	-25.3918	-7.18825	15.1763	4.19252
5371	-29.1811	-23.6335	-5.5476	15.373	2.55186
5372	-29.4922	-23.9446	-5.5476	15.8421	2.55186
5373	-29.3775	-23.8299	-5.5476	15.7185	2.55186
5374	-29.3847	-23.8371	-5.5476	15.7271	2.55186
5375	-29.1703	-23.6227	-5.5476	15.3333	2.55186
5376	-29.7554	-23.834	-5.92139	15.5229	2.92566
5377	-29.9099	-25.0645	-4.84541	15.463	1.84968
5378	-30.2354	-25.3899	-4.84541	15.7281	1.84968
5379	-29.4312	-23.8309	-5.6003	15.7281	2.60457
5380	-29.2894	-23.7346	-5.55482	15.5902	2.55909
5381	-29.184	-23.6292	-5.55482	15.3594	2.55909
5382	-29.1666	-23.6118	-5.55482	15.2805	2.55909
5383	-29.2379	-24.1877	-5.05015	15.2805	2.05442
5384	-29.3821	-23.651	-5.73106	15.2805	2.73533
5385	-29.3776	-23.6496	-5.72791	15.2805	2.73218
5386	-29.1558	-24.0033	-5.15249	15.4191	2.15675
5387	-29.644	-24.735	-4.909	15.4191	1.91326
5388	-30.0038	-23.931	-6.07287	15.4191	3.07714
5389	-29.0828	-23.7949	-5.28789	15.4191	2.29216
5390	-29.0264	-23.7386	-5.28789	15.1841	2.29216
5391	-29.0264	-23.7386	-5.28789	15.1841	2.29216
5392	-29.0264	-23.7386	-5.28789	15.1841	2.29216
5393	-29.8452	-25.0135	-4.83169	15.1841	1.83596
5394	-29.8623	-25.0306	-4.83169	15.2832	1.83596
5395	-29.147	-23.7163	-5.43068	15.494	2.43495
5396	-29.0978	-23.6671	-5.43068	15.3831	2.43495
5397	-29.0978	-23.6671	-5.43068	15.3831	2.43495
5398	-29.0642	-23.6335	-5.43068	15.2323	2.43495
5399	-29.0626	-23.6319	-5.43068	15.2113	2.43495
5400	-29.0626	-23.6319	-5.43068	15.2113	2.43495
5401	-29.2103	-23.6072	-5.60315	15.2113	2.60742
5402	-29.0879	-23.617	-5.47082	15.2113	2.47508
5403	-29.0868	-23.616	-5.47082	15.1718	2.47508
5404	-30.3809	-25.6561	-4.72481	15.1718	1.72908
5405	-30.6877	-25.9629	-4.72481	14.7473	1.72908
5406	-29.1973	-23.891	-5.30635	14.7473	2.31061
5407	-29.3485	-24.0421	-5.30635	14.5883	2.31061
5408	-29.384	-24.0777	-5.30635	14.5569	2.31061
5409	-29.0257	-23.7194	-5.30635	15.1617	2.31061
5410	-29.6664	-23.7959	-5.8705	14.8336	2.87477
5411	-29.3525	-24.2964	-5.05613	14.8336	2.06039
5412	-29.6169	-24.5608	-5.05613	14.5913	2.06039
5413	-29.4033	-24.3472	-5.05613	15.5757	2.06039
5414	-30.4478	-24.1933	-6.25456	15.6274	3.25883
5415	-30.3542	-24.0996	-6.25456	15.2476	3.25883
5416	-30.3744	-24.1199	-6.25456	15.3952	3.25883
5417	-30.413	-24.1584	-6.25456	15.5363	3.25883
5418	-29.2436	-24.093	-5.15052	15.5485	2.15479
5419	-29.5149	-23.7504	-5.76447	15.5485	2.76874
5420	-29.573	-23.7188	-5.85421	15.085	2.85848
5421	-29.672	-23.8177	-5.85421	14.7634	2.85848
5422	-30.1855	-24.0501	-6.13537	14.7634	3.13964
5423	-30.1025	-23.9671	-6.13537	15.0971	3.13964
5424	-29.1314	-23.6105	-5.5209	15.0971	2.52517
5425	-29.1314	-23.6105	-5.5209	15.0971	2.52517
5426	-29.1378	-23.6169	-5.5209	15.2954	2.52517
5427	-29.1284	-23.6978	-5.43066	14.8938	2.43493
5428	-29.0623	-23.6317	-5.43066	15.2076	2.43493
5429	-29.1602	-23.7296	-5.43066	14.8334	2.43493
5430	-30.2866	-24.089	-6.19758	14.8334	3.20185
5431	-29.2139	-23.6986	-5.51528	14.8334	2.51955
5432	-29.3903	-23.875	-5.51528	14.5916	2.51955
5433	-29.6221	-23.7681	-5.85398	14.8773	2.85825
5434	-29.6861	-23.8321	-5.85398	14.7356	2.85825
5435	-29.2877	-23.8045	-5.48321	14.6883	2.48747
5436	-29.7646	-24.1196	-5.64495	14.3331	2.64921
5437	-29.7646	-24.1196	-5.64495	14.3331	2.64921
5438	-29.4597	-23.8148	-5.64495	14.6446	2.64921
5439	-29.3175	-24.0783	-5.2392	14.6446	2.24347
5440	-30.1996	-24.2274	-5.97214	14.3112	2.97641
5441	-30.7699	-25.9193	-4.85062	14.3456	1.85488
5442	-31.1556	-24.6695	-6.48615	14.3456	3.49042
5443	-31.1556	-24.6695	-6.48615	14.3456	3.49042
5444	-30.9681	-24.4819	-6.48615	14.694	3.49042
5445	-30.8865	-24.4003	-6.48615	14.9938	3.49042
5446	-31.7282	-24.8858	-6.84247	15.2776	3.84673
5447	-31.7252	-24.8828	-6.84247	15.2145	3.84673
5448	-31.5282	-24.7794	-6.74876	15.4737	3.75303
5449	-29.1265	-23.8893	-5.23723	15.4737	2.24149
5450	-29.5527	-24.3155	-5.23723	15.8947	2.24149
5451	-29.2356	-23.9983	-5.23723	15.621	2.24149
5452	-29.4612	-24.4117	-5.04949	15.621	2.05376
5453	-29.2299	-24.1804	-5.04949	15.2331	2.05376
5454	-29.2299	-24.1804	-5.04949	15.2331	2.05376
5455	-29.3301	-23.6324	-5.69778	15.2331	2.70205
5456	-29.2645	-23.6375	-5.62698	15.3706	2.63124
5457	-29.3	-23.6731	-5.62698	15.471	2.63124
5458	-30.1216	-24.4946	-5.62698	16.2823	2.63124
5459	-30.2593	-25.0236	-5.2357	16.2823	2.23997
5460	-30.2592	-24.3505	-5.90872	16.1821	2.91299
5461	-30.8142	-24.9055	-5.90872	16.5738	2.91299
5462	-30.6776	-24.7689	-5.90872	16.4883	2.91299
5463	-30.4374	-24.5287	-5.90872	16.3225	2.91299
5464	-31.1881	-24.8164	-6.37169	16.3225	3.37596
5465	-29.6285	-23.9656	-5.66284	15.8782	2.66711
5466	-29.4797	-24.0408	-5.4389	15.8782	2.44317
5467	-29.5497	-24.3354	-5.21428	15.8782	2.21855
5468	-29.5109	-24.2484	-5.26246	15.8782	2.26673
5469	-29.7201	-24.4577	-5.26246	16.0174	2.26673
5470	-30.0851	-24.0163	-6.06885	15.6529	3.07311
5471	-30.0721	-24.0032	-6.06885	15.6263	3.07311
5472	-30.3154	-24.2465	-6.06885	15.9896	3.07311
5473	-30.3439	-24.2585	-6.08542	15.9887	3.08969
5474	-29.8502	-23.9199	-5.93037	15.6825	2.93464
5475	-29.7993	-23.869	-5.93037	15.587	2.93464
5476	-29.7049	-23.7745	-5.93037	15.2565	2.93464
5477	-30.4201	-25.6241	-4.79601	15.6953	1.80027
5478	-31.4971	-26.701	-4.79601	16.1595	1.80027
5479	-31.481	-26.685	-4.79601	16.1542	1.80027
5480	-30.1555	-24.3001	-5.85532	16.1542	2.85959
5481	-31.167	-26.3176	-4.84942	16.1542	1.85369
5482	-30.1015	-24.9381	-5.16342	16.1542	2.16768
5483	-30.0254	-24.2836	-5.74176	16.1542	2.74603
5484	-29.5494	-23.8076	-5.74176	15.6654	2.74603
5485	-29.9267	-23.877	-6.04965	15.191	3.05392
5486	-29.1468	-23.7018	-5.44495	15.4795	2.44922
5487	-29.1468	-23.7018	-5.44495	15.4795	2.44922
5488	-29.3597	-23.899	-5.46072	15.7588	2.46499
5489	-29.741	-24.2803	-5.46072	16.0719	2.46499
5490	-30.1784	-24.7177	-5.46072	16.331	2.46499
5491	-31.5923	-25.2047	-6.38765	16.6504	3.39192
5492	-31.3219	-25.1029	-6.21904	16.6504	3.22331
5493	-32.2796	-26.0606	-6.21904	17.2165	3.22331
5494	-31.4448	-25.2257	-6.21904	16.7346	3.22331
5495	-31.0189	-24.7999	-6.21904	16.4187	3.22331
