Iteration	Posterior	Likelihood	Prior	mu	sigma
273	-30.376	-25.07	-5.30603	13.9749	2.3103
274	-31.2316	-24.8372	-6.39438	14.0288	3.39864
275	-30.3462	-25.1085	-5.2377	14.0288	2.24197
276	-30.245	-24.9268	-5.3182	14.0288	2.32247
277	-29.5108	-24.2746	-5.2362	14.487	2.24046
278	-29.1144	-23.8782	-5.2362	14.8996	2.24046
279	-29.6389	-23.7701	-5.86883	14.8996	2.8731
280	-29.9659	-23.9439	-6.02205	14.7624	3.02632
281	-30.2126	-24.144	-6.06864	14.4905	3.07291
282	-29.6921	-24.2605	-5.43165	14.3109	2.43591
283	-29.6921	-24.2605	-5.43165	14.3109	2.43591
284	-29.5466	-24.1149	-5.43165	14.4173	2.43591
285	-29.1195	-23.6878	-5.43165	14.9145	2.43591
286	-29.9611	-24.0719	-5.88924	14.4288	2.89351
287	-29.63	-23.7407	-5.88924	15.1187	2.89351
288	-29.0347	-23.7705	-5.26411	15.1073	2.26838
289	-29.2268	-23.6114	-5.61537	15.1073	2.61963
290	-29.2268	-23.6114	-5.61537	15.1073	2.61963
291	-29.6438	-24.0284	-5.61537	15.9352	2.61963
292	-29.7517	-24.1364	-5.61537	16.0272	2.61963
293	-29.3147	-23.6993	-5.61537	15.5297	2.61963
294	-29.0663	-23.7103	-5.356	15.3724	2.36027
295	-29.0532	-23.6972	-5.356	15.0203	2.36027
296	-29.0769	-23.87	-5.20686	15.0203	2.21112
297	-29.4995	-23.7539	-5.74554	14.7798	2.74981
298	-29.4773	-23.7317	-5.74554	15.5264	2.74981
299	-29.4031	-23.6576	-5.74554	15.0707	2.74981
300	-29.5672	-23.8217	-5.74554	14.6665	2.74981
301	-29.1492	-23.7967	-5.3525	14.8129	2.35676
302	-29.1298	-23.9908	-5.139	15.0245	2.14327
303	-30.0363	-23.9394	-6.0969	15.3485	3.10117
304	-30.0213	-23.9244	-6.0969	15.2069	3.10117
305	-30.4318	-24.1408	-6.29103	15.2069	3.29529
306	-30.4404	-24.1493	-6.29103	15.0358	3.29529
307	-30.5457	-24.2547	-6.29103	14.6772	3.29529
308	-30.5457	-24.2547	-6.29103	14.6772	3.29529
309	-30.5403	-24.2493	-6.29103	14.6892	3.29529
310	-29.9833	-24.284	-5.69938	14.1983	2.70365
311	-31.1433	-26.0029	-5.14044	13.8057	2.14471
312	-31.0301	-25.8478	-5.18235	13.8057	2.18661
313	-31.428	-26.2457	-5.18235	13.6733	2.18661
314	-31.428	-26.2457	-5.18235	13.6733	2.18661
315	-30.5335	-25.1342	-5.39924	13.8647	2.40351
316	-29.7638	-24.3646	-5.39924	14.2649	2.40351
317	-30.8384	-24.9095	-5.92899	13.7751	2.93325
318	-31.8542	-25.9252	-5.92899	13.2496	2.93325
319	-31.6924	-25.7634	-5.92899	13.3233	2.93325
320	-30.8008	-24.8718	-5.92899	13.7984	2.93325
321	-30.6068	-24.9796	-5.62724	13.7984	2.63151
322	-30.2188	-24.77	-5.44879	14.0009	2.45305
323	-30.4182	-24.5588	-5.85942	14.0009	2.86368
324	-29.8864	-24.7704	-5.11601	14.351	2.12028
325	-30.5088	-25.3928	-5.11601	14.0622	2.12028
326	-29.6883	-23.9725	-5.71586	14.4712	2.72012
327	-29.3971	-23.6813	-5.71586	14.9201	2.72012
328	-29.3971	-23.6813	-5.71586	14.9201	2.72012
329	-29.7094	-23.9935	-5.71586	14.4494	2.72012
330	-30.2939	-24.578	-5.71586	13.9956	2.72012
331	-29.5832	-23.8673	-5.71586	14.592	2.72012
332	-29.5292	-23.8589	-5.67032	14.592	2.67459
333	-29.3187	-23.6483	-5.67032	14.9773	2.67459
334	-29.2925	-23.6222	-5.67032	15.2191	2.67459
335	-29.1408	-23.6574	-5.48346	14.9401	2.48773
336	-29.1689	-23.6855	-5.48346	14.8752	2.48773
337	-29.8186	-24.3351	-5.48346	14.2299	2.48773
338	-29.7525	-24.269	-5.48346	14.2742	2.48773
339	-30.1384	-24.5682	-5.5702	14.0448	2.57446
340	-31.1699	-25.5997	-5.5702	13.5489	2.57446
341	-31.2332	-25.663	-5.5702	13.5233	2.57446
342	-31.3642	-25.341	-6.02321	13.5233	3.02748
343	-31.3642	-25.341	-6.02321	13.5233	3.02748
344	-30.8224	-25.4711	-5.35132	13.7654	2.35559
345	-30.8224	-25.4711	-5.35132	13.7654	2.35559
346	-30.8224	-25.4711	-5.35132	13.7654	2.35559
347	-31.7914	-26.4401	-5.35132	13.4252	2.35559
348	-31.7076	-26.3137	-5.39388	13.4252	2.39815
349	-31.1272	-25.7333	-5.39388	13.6276	2.39815
