# BEAST v1.8.0, r5971
# Generated Tue Nov 11 23:15:48 EST 2014 [seed=1415708148141]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(AleocharaTriboliumMeloeDendroctonus)	tmrca(BombusApis)	tmrca(CarabusGyrinus)	tmrca(ColeopteraStrepsiptera)	tmrca(CopepodaBranchiopoda)	tmrca(Dicondylia)	tmrca(Diplura)	tmrca(Diptera)	tmrca(Ellipura)	tmrca(Embioptera)	tmrca(EmbiopteraPhasmatodea)	tmrca(EpiophlebiaCordulegaster)	tmrca(FormicidaeApidae)	tmrca(GlossinaSarcophagaTriarthria)	tmrca(HemipteraSternorrhyncha except Aleyrodidae)	tmrca(Holometabola)	tmrca(Hymenoptera)	tmrca(Isoptera)	tmrca(LiposcelisPediculusMenopon)	tmrca(ManducaBombyxParidesPolyommatusZygaenaYponomeutaNemophora)	tmrca(Mecoptera)	tmrca(Megaloptera)	tmrca(MegalopteraNeuroptera)	tmrca(Neuroptera)	tmrca(Odonata)	tmrca(OstracodaMalacostraca)	tmrca(ParidesPolyommatus)	tmrca(PediculusMenopon)	tmrca(Plecoptera)	tmrca(Pterygota)	tmrca(RanatraVelia)	tmrca(SiphonapteraMecoptera)	tmrca(Strepsiptera)	tmrca(Thysanoptera)	tmrca(ThysanopteraHemiptera)	tmrca(ZorapteraDermaptera)	tmrca(Lepidoptera)	yule.birthRate	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
1530000	-1714.1233411221838	-1710.9527066924397	-3.170634429743993	573.3560467450689	190.74947146285044	30.413441325943687	215.54775152795156	296.4038919322479	169.98124475850662	387.4462494738568	90.3206260617527	110.38998641844775	288.9826828891335	107.69481570912342	139.3561210657824	109.01582320903812	95.08488282730828	39.5380034929482	115.19368392097674	347.99497610921003	311.2468958262744	136.52766548065472	107.21775960327963	102.27316197605799	108.72433632056227	52.909212032272585	78.13946108162028	45.66337050744651	313.83184591440016	428.2580056867909	43.75627332208345	64.8342498668766	166.8347973728101	387.21279360401945	112.95055943836485	166.8094223268981	118.04589864812144	124.02067915071682	339.95765317253495	172.68867131416852	117.66656921935585	0.005861392451855188	7.795571944123213E99	7.992640684712072E99	0.0	NaN	NaN	-3.170634429743993	-854.9862386988226
1531000	-1709.379937276708	-1706.209302846964	-3.170634429743993	519.0199698802003	131.23281438425488	29.59926416846032	209.77747207288525	287.7586227045527	165.4307946729745	378.30144981479435	87.90271518475022	107.43481260586998	197.88670551897812	104.81179244352037	126.50268545623142	106.09743616727543	92.53943133465071	38.4795590061352	62.408927180180825	322.2403581925163	230.22280396277532	132.8727779785272	105.74188111955768	100.17100967041142	108.57563342910717	51.73867188864426	110.2735468339877	73.4318250872525	305.43047109147346	446.1959370351314	42.58490445745421	63.0986171017955	167.01028155784365	378.0321595560678	109.92683830026276	162.34388290121976	114.88577371573139	120.70060751074914	332.67313782409076	168.06574258889424	114.51659905218135	0.0067924151996661235	7.864231930959334E99	7.134123639725956E99	0.0	NaN	NaN	-3.170634429743993	-850.0135026318022
1532000	-1719.1246291705074	-1715.9539947407634	-3.170634429743993	514.8484788213464	131.54296638868266	29.669218250863477	209.99692063270822	309.8668489724158	265.48849179930784	373.4502616102642	139.96457491353894	107.68872107100023	335.2076074182209	105.05950173533545	171.2518530814858	107.5972845680056	92.75813646759869	38.522570977469854	52.07734230361559	326.4909124179849	235.53444828713046	133.1868058275624	105.99178855722921	107.1370052436411	108.83223807862302	153.87590603323957	174.19389485876107	18.293972721910944	223.6218973033201	436.19928429667937	42.68554844301388	63.2477426285364	167.40498903880595	372.31352972234606	110.18663635000512	168.8404181771255	115.1572915763012	120.98586798870771	320.8954836490433	168.4629445172699	114.78724441556042	0.004997281191131674	5.046495299434186E99	5.094352029862746E99	0.0	NaN	NaN	-3.170634429743993	-861.0895000630821
1533000	-1722.9643491651193	-1719.7937147353753	-3.170634429743993	550.3910429604504	83.50231628790003	31.37259936963997	212.73277952916044	314.88044888953647	269.7840564423005	379.49263176656495	56.64543734902939	109.96377475463188	245.9085166696797	106.75934897920726	141.28053034119884	109.33819276383707	94.25894943564747	39.14586049456534	173.65457968861077	330.86128239780976	293.58333906853227	135.3417487034235	107.70672006438534	106.90427787101456	101.71498205944064	122.3671973592996	126.34440550201427	20.286438190883374	227.24006662186528	463.7030957538522	43.37619432154473	61.91300745287485	170.11357707251727	373.2767948615837	111.55816689508474	169.44955180837087	125.87167324022079	122.94340148973396	350.76326517787464	167.83019516724653	116.64448510134795	0.006642868501794713	2.203242611743743E99	3.2925495525996837E99	0.0	NaN	NaN	-3.170634429743993	-860.376978599775
1534000	-1717.1132843648472	-1713.9426499351032	-3.170634429743993	567.0079689118684	89.2861055050675	31.25008835450821	211.90205114529763	307.71017339001395	234.78283787287495	390.78940606715867	76.40101945132164	109.5343626579745	148.1339755497261	106.34245026883436	127.73482826713511	106.15877434192312	105.9641340708154	38.992994643352624	175.99132199277614	339.55709486350474	249.15614393218007	134.8132347977696	105.48075488748512	101.52452404885803	103.19794745088372	28.898304783809532	153.76163132240313	23.771793372929025	226.3526868127382	481.67271918668604	43.20680887992821	57.853739248267914	169.44927805255733	373.8080966326437	111.12252864555606	163.9553560086046	113.05891358125011	122.46330353091345	292.5636749921161	167.17481282747144	133.87106112817176	0.006182959349992201	6.266271522161821E99	8.406087502565998E99	0.0	NaN	NaN	-3.170634429743993	-857.5743774512366
1535000	-1722.5790115922896	-1719.4083771625455	-3.170634429743993	564.1611082629768	145.36549926524495	32.26315332927865	212.89501647449322	324.0386514479995	335.3412120530003	407.68829307922147	123.6112167474792	110.04763671024085	322.15621312546	114.17070428496879	124.24205084749222	106.65623050972184	102.55294096143218	35.80774570331235	179.2813444779053	337.5064991029161	231.78698560780833	135.59680283774873	105.97503388070179	108.11851963803932	103.68152929121526	25.609459028027324	79.08566095726684	51.61483829261117	260.1527514019388	483.9298200858358	43.00169123443441	55.65768344695695	170.24331122615806	384.947653650973	111.64324478606154	167.69016651447245	113.58870355136096	123.03716213137395	346.96895375893814	167.95818793948774	134.49837606714678	0.006154489419641418	4.455866149781319E99	4.2249152179872926E99	0.0	NaN	NaN	-3.170634429743993	-858.1238974678197
1536000	-1726.9456434307285	-1723.7750090009845	-3.170634429743993	545.4989161122263	248.82198834797111	32.29838491707997	213.12749931300664	309.57779328889256	172.97576655473802	409.69958358346753	137.16633965850343	110.16780949482623	375.832067466088	114.2953794880186	193.77985488960763	106.77269985515161	102.66492948613995	35.84684801063605	185.51384524058972	356.24528753003864	337.3503451517429	135.74487548942042	106.09075935467544	108.2365858133663	112.10349422074705	145.26660655266627	181.77371063429396	123.43515003850482	319.1133906076957	474.4170365002837	40.112184521292846	55.71846202433797	170.4292181059301	387.44671060231065	111.76515998576195	167.8732853424641	113.71274320556228	121.06875221632185	249.09842312416697	168.1415994487394	116.17391729095785	0.006077818270116132	7.414943396283029E99	8.394850502233007E99	0.0	NaN	NaN	-3.170634429743993	-865.8097738895652
1537000	-1715.3677645349633	-1712.1971301052192	-3.170634429743993	550.6412058699286	136.4732614150921	31.975177678264938	210.99475023761607	292.6873977166081	248.52625085769992	387.5426573130621	61.3902284650847	109.06536943150608	356.9207930148465	113.15163517670152	180.99991663961563	105.70423437027962	101.6375701160803	37.576035355752175	148.43828358500312	345.4300941983185	333.4136461762132	134.3864878640681	105.65733005424605	108.28842769139847	110.98168392213226	16.327392783172286	269.0777462444869	208.60954324801745	251.5014581332063	425.21547057859334	39.71078524280724	55.16089203103518	168.72374716244974	386.7747826383281	113.06865827690439	166.1933914045584	112.57482928683511	119.85722733013704	262.34241690699884	166.45902051399423	118.9819687986659	0.005358745921694055	9.50920536985113E99	5.781343494811761E99	0.0	NaN	NaN	-3.170634429743993	-858.7412591631532
1538000	-1715.928646322319	-1712.758011892575	-3.170634429743993	545.6369769682739	183.79625687783314	31.975177678264938	210.99475023761607	276.6272173810321	332.62800265763036	392.01473772216616	62.95292539967848	109.06536943150608	139.2803725600482	115.48624242361883	180.99991663961563	105.70423437027962	101.6375701160803	37.576035355752175	154.40912464228802	342.8096592209054	310.77678264265785	134.3864878640681	105.65733005424605	106.43689562600098	111.21498258903702	213.98364874680092	249.44111951569857	208.60954324801745	276.8372456935418	425.21547057859334	39.71078524280724	56.30246550424508	168.72374716244974	386.7747826383281	113.06865827690439	166.1933914045584	113.49728593704504	119.85722733013704	262.34241690699884	166.45902051399423	118.9819687986659	0.006079920917533241	5.272747818069541E99	4.3419190716627768E99	0.0	NaN	NaN	-3.170634429743993	-858.611064430095
1539000	-1715.8184760206282	-1712.6478415908841	-3.170634429743993	552.1241968306257	255.31199104378828	31.486828918011582	208.837079590873	274.18352533428555	327.54785973058046	367.2536060641583	273.6905197431391	107.39964176974381	376.6826200527481	103.66653973690386	228.55681569353925	104.08984046987153	100.08528534503772	37.00214611998754	167.2173852756961	335.3626040387749	334.62197361081746	134.92747479353397	104.04365251153315	102.98123056852303	109.51642443197404	140.07041459117193	236.44662234497554	133.3865268384881	261.1401348344134	450.802953321663	39.104292514693505	64.5752902265263	166.14687226339043	362.8615270711727	112.39595884519242	163.6551619857463	111.76387074113347	118.02667836609285	258.33572786378244	166.89933129573558	122.70536607032605	0.005485637723340897	4.0685053783595075E99	6.045434941300673E99	0.0	NaN	NaN	-3.170634429743993	-858.1318767512945
